,trackName,artistName,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_href,uri,analysis_url
0,Keep On Reaching,Noel Gallagher's High Flying Birds,2G4DwiSQSXyzhOK0xoIZX6,rock,0.000612,0.21899999999999997,204853.0,0.9129999999999999,0.00328,2.0,0.0499,-4.005,0.0,0.125,191.747,4.0,0.28600000000000003,https://api.spotify.com/v1/tracks/2G4DwiSQSXyzhOK0xoIZX6,spotify:track:2G4DwiSQSXyzhOK0xoIZX6,https://api.spotify.com/v1/audio-analysis/2G4DwiSQSXyzhOK0xoIZX6
1,Fort Knox,Noel Gallagher's High Flying Birds,7Iz2Ojv9iUmPyR7gv4mnVz,rock,3.63e-06,0.245,238027.0,0.917,0.0297,6.0,0.43200000000000005,-5.265,1.0,0.063,180.044,4.0,0.33299999999999996,https://api.spotify.com/v1/tracks/7Iz2Ojv9iUmPyR7gv4mnVz,spotify:track:7Iz2Ojv9iUmPyR7gv4mnVz,https://api.spotify.com/v1/audio-analysis/7Iz2Ojv9iUmPyR7gv4mnVz
2,Holy Mountain,Noel Gallagher's High Flying Birds,7iQmD0bfguAQOpU1V3Bp8w,rock,4.51e-06,0.429,234880.0,0.9740000000000001,0.563,1.0,0.5770000000000001,-4.04,1.0,0.0419,137.01,4.0,0.7240000000000001,https://api.spotify.com/v1/tracks/7iQmD0bfguAQOpU1V3Bp8w,spotify:track:7iQmD0bfguAQOpU1V3Bp8w,https://api.spotify.com/v1/audio-analysis/7iQmD0bfguAQOpU1V3Bp8w
3,"Dead In The Water - Live At RTÉ 2FM Studios, Dublin",Noel Gallagher's High Flying Birds,23lfArJqIQYpPFGzbZaFqa,rock,0.8759999999999999,0.35100000000000003,321693.0,0.46299999999999997,4.4e-06,7.0,0.424,-7.227,0.0,0.0344,178.90599999999998,4.0,0.284,https://api.spotify.com/v1/tracks/23lfArJqIQYpPFGzbZaFqa,spotify:track:23lfArJqIQYpPFGzbZaFqa,https://api.spotify.com/v1/audio-analysis/23lfArJqIQYpPFGzbZaFqa
4,It’s A Beautiful World,Noel Gallagher's High Flying Birds,1ztfmTElVNMYKAFmvIaBPA,rock,0.14,0.514,317293.0,0.915,0.741,5.0,0.408,-4.263,1.0,0.0417,133.016,4.0,0.5539999999999999,https://api.spotify.com/v1/tracks/1ztfmTElVNMYKAFmvIaBPA,spotify:track:1ztfmTElVNMYKAFmvIaBPA,https://api.spotify.com/v1/audio-analysis/1ztfmTElVNMYKAFmvIaBPA
5,Black & White Sunshine,Noel Gallagher's High Flying Birds,4bgVsSFxOroSEjkfHkZtpI,rock,2.8199999999999998e-05,0.426,221587.0,0.903,6.04e-06,10.0,0.113,-3.02,1.0,0.0529,126.992,4.0,0.349,https://api.spotify.com/v1/tracks/4bgVsSFxOroSEjkfHkZtpI,spotify:track:4bgVsSFxOroSEjkfHkZtpI,https://api.spotify.com/v1/audio-analysis/4bgVsSFxOroSEjkfHkZtpI
6,If Love Is The Law,Noel Gallagher's High Flying Birds,0SG8U2n7VRFOKKBDQBUliy,rock,0.06,0.456,205293.0,0.861,0.000551,10.0,0.14400000000000002,-6.722,1.0,0.0659,118.00399999999999,4.0,0.312,https://api.spotify.com/v1/tracks/0SG8U2n7VRFOKKBDQBUliy,spotify:track:0SG8U2n7VRFOKKBDQBUliy,https://api.spotify.com/v1/audio-analysis/0SG8U2n7VRFOKKBDQBUliy
7,The Man Who Built The Moon,Noel Gallagher's High Flying Birds,7qR1Y6QqM4McefQaX1MmRh,rock,0.00298,0.345,268453.0,0.836,8.01e-05,5.0,0.126,-4.252,0.0,0.0361,144.131,4.0,0.457,https://api.spotify.com/v1/tracks/7qR1Y6QqM4McefQaX1MmRh,spotify:track:7qR1Y6QqM4McefQaX1MmRh,https://api.spotify.com/v1/audio-analysis/7qR1Y6QqM4McefQaX1MmRh
9,Longshot,Catfish and the Bottlemen,2VcS3oKcOPkubN9LVzZ96l,rock,0.00381,0.48100000000000004,232960.0,0.765,0.000737,7.0,0.11900000000000001,-4.025,1.0,0.0388,102.829,4.0,0.465,https://api.spotify.com/v1/tracks/2VcS3oKcOPkubN9LVzZ96l,spotify:track:2VcS3oKcOPkubN9LVzZ96l,https://api.spotify.com/v1/audio-analysis/2VcS3oKcOPkubN9LVzZ96l
10,You're in Love with a Psycho,Kasabian,0AJhcuRl3i1FfPNr88ZScv,rock,0.0193,0.721,215693.0,0.805,0.00010700000000000001,11.0,0.342,-5.0489999999999995,0.0,0.0473,120.009,4.0,0.711,https://api.spotify.com/v1/tracks/0AJhcuRl3i1FfPNr88ZScv,spotify:track:0AJhcuRl3i1FfPNr88ZScv,https://api.spotify.com/v1/audio-analysis/0AJhcuRl3i1FfPNr88ZScv
